topic_folder,subfolder,geographies,date_range,date_range_folder,date_range_year_var,unique_ids,smallest_geo,n_dicts,n_vars,has_P_dta,n_dta,dict_status,parse_errors
PRISM,daily,"Census Tract (2010, 2020)",,,,tract_fips10; tract_fips20,Census Tract,8,48,,44,ok,
PRISM,ppt,"Census Tract (2010, 2020)",2000-2009,,2000-2009,year; tract_fips10; tract_fips20,Census Tract,4,56,Y,145,ok,
PRISM,tmax,"Census Tract (2010, 2020)",2010-2019,,2010-2019,tract_fips10; year; tract_fips20,Census Tract,4,59,Y,74,ok,
PRISM,tmin,"Census Tract (2010, 2020)",2010-2019,,2010-2019,tract_fips10; year; tract_fips20,Census Tract,4,56,,74,ok,
public_transit,transit_tract2024,Census Tract (2020),2024,2024,,tract_fips20,Census Tract,1,6,Y,2,ok,
public_transit,transit_tract_2016-2018,Census Tract,2016-2018,2016-2018,,tract_fips,Census Tract,1,6,Y,5,ok,
public_transit,transit_zcta2024,ZCTA (2020),2024,2024,,zcta20,ZCTA,1,6,Y,2,ok,
public_transit,transit_zcta_2016-2018,ZCTA (2019),2016-2018,2016-2018,,zcta19,ZCTA,2,10,Y,2,ok,
public_transit_quality,Accessibility,"Census Tract (2020, 2022)",,,,tract_fips20; tract_fips22,Census Tract,4,72,Y,8,ok,
public_transit_quality,Accommodation,,,,,,,7,120,Y,14,ok,
public_transit_quality,Adjacency,"Census Tract (2020, 2022)",,,,tract_fips20; tract_fips22,Census Tract,1,14,Y,2,ok,
public_transit_quality,Affordability,,,,,,,1,10,Y,2,ok,
public_transit_quality,Availability,"Census Tract (2020, 2022)",,,,tract_fips20; tract_fips22,Census Tract,1,7,Y,2,ok,
public_transit_quality,TransitFunding,,,,,,,1,8,Y,2,ok,
recreation,recreation_1990-2021,"Census Tract (2010, 2020); ZCTA (2010, 2020)",1990-2021,1990-2021,1990-2021,tract_fips10; year; tract_fips20; zcta10; zcta20,Census Tract,4,112,Y,8,ok,
recreation,recreation_1990-2022,"Census Tract (2010, 2020, 2022); ZCTA (2010, 2020)",1990-2022,1990-2022,1990-2022,tract_fips10; year; tract_fips20; tract_fips22; zcta10; zcta20,Census Tract,8,226,,4,ok,
religious_civic_social_orgs,relcivsoc_1990-2021,"Census Tract (2010, 2020); ZCTA (2010, 2020)",1990-2021,1990-2021,1990-2021,tract_fips10; year; tract_fips20; zcta10; zcta20,Census Tract,9,192,Y,8,ok,
religious_civic_social_orgs,relcivsoc_1990-2022,"Census Tract (2010, 2020, 2022); ZCTA (2010, 2020)",1990-2022,1990-2022,1990-2022,tract_fips10; year; tract_fips20; tract_fips22; zcta10; zcta20,Census Tract,8,194,,4,ok,
religious_civic_social_orgs,relcivsoc_tract_2003-2017,Census Tract (2010),2003-2017,2003-2017,2003-2017,tract_fips10; year,Census Tract,1,22,Y,1,ok,
religious_civic_social_orgs,relcivsoc_tract_2006-2015,Census Tract (2010),2006-2015,2006-2015,,tract_fips10,Census Tract,2,52,Y,1,ok,
religious_civic_social_orgs,relcivsoc_zcta10_1990-2021,ZCTA (2010),1990-2021,1990-2021,,zcta10; year,ZCTA,2,48,,2,ok,
religious_civic_social_orgs,relcivsoc_zcta_2003-2017,ZCTA (2019),2003-2017,2003-2017,2003-2017,zcta19; year,ZCTA,1,22,Y,1,ok,
retail_establishments,retail_1990-2021,"Census Tract (2010, 2020); ZCTA (2010, 2020)",1990-2021,1990-2021,1990-2021,year; tract_fips20; zcta10; zcta20,Census Tract,4,159,Y,8,ok,
retail_establishments,retail_1990-2022,"Census Tract (2010, 2020, 2022); ZCTA (2010, 2020)",1990-2022,1990-2022,1990-2022,tract_fips10; year; tract_fips20; tract_fips22; zcta10; zcta20,Census Tract,8,322,,4,ok,
retail_establishments,retail_tract_2003-2017,Census Tract (2010),2003-2017,2003-2017,2003-2017,tract_fips10; year,Census Tract,1,94,Y,1,ok,
retail_establishments,retail_tract_2006-2015,Census Tract (2010),2006-2015,2006-2015,,tract_fips10,Census Tract,12,312,Y,1,ok,
retail_establishments,retail_zcta_2003-2017,ZCTA (2019),2003-2017,2003-2017,2003-2017,zcta19; year,ZCTA,1,94,Y,1,ok,
schools,neighborhood_school_gap_tract_0910_1516,Census Tract (2010),2009-2016,,2009-2016,tract_fips10; year,Census Tract,2,18,Y,2,ok,
schools,neighborhood_school_gap_tract_supp_0910_1516,Census Tract (2010),2009-2010,,2009-2010,tract_fips10; year,Census Tract,2,192,Y,2,ok,
schools,neighborhood_school_gap_zcta_0910_1516,ZCTA (2019),2009-2016,,2009-2016,zcta19; year,ZCTA,2,18,Y,2,ok,
schools,neighborhood_school_gap_zcta_supp_0910_1516,ZCTA (2019),2009-2010,,2009-2010,zcta19; year,ZCTA,2,192,Y,2,ok,
schools,school_counts_tract_2000-2018,Census Tract (2010),2000-2018,2000-2018,2000-2018,tract_fips10; year,Census Tract,1,26,Y,1,ok,
schools,school_counts_zcta_2000-2018,ZCTA (2019),2000-2018,2000-2018,2000-2018,zcta19; year,ZCTA,1,26,Y,1,ok,
schools,schools_district_2000-2018,School District,2000-2018,2000-2018,2000-2018,leaid; year,School District,1,69,Y,1,ok,
ses_demographics,sesdem_2018-2022,"Census Tract (2010, 2020); ZCTA (2020)",2018-2022,2018-2022,,tract_fips10; tract_fips20; zcta20,Census Tract,6,234,,7,ok,
ses_demographics,sesdem_2019-2023,"Census Tract (2010, 2020, 2022); ZCTA (2020)",2019-2023,2019-2023,,tract_fips10; tract_fips20; tract_fips22; zcta20,Census Tract,6,296,Y,6,ok,
ses_demographics,sesdem_2020-2024,"Census Tract (2010, 2020, 2022); ZCTA (2020)",2020-2024,2020-2024,,tract_fips10; tract_fips20; tract_fips22; zcta20,Census Tract,6,296,Y,3,ok,
ses_demographics,sesdem_tract_1990,Census Tract (2010),1990,1990,,tract_fips10,Census Tract,1,33,,1,ok,
ses_demographics,sesdem_tract_1990-2010,Census Tract (2010),1990-2010,1990-2010,,tract_fips10,Census Tract,1,673,Y,2,ok,
ses_demographics,sesdem_tract_2000-2010,Census Tract (2010),2000-2010,2000-2010,,tract_fips10,Census Tract,2,706,Y,3,ok,
ses_demographics,sesdem_tract_2008-2017,Census Tract (2010),2008-2017,2008-2017,,tract_fips10,Census Tract,3,198,Y,3,ok,
ses_demographics,sesdem_tract_2016-2020,Census Tract (2020),2016-2020,2016-2020,,tract_fips20,Census Tract,1,39,Y,3,ok,
