topic,subfolder,filename,ext,name_pattern,stage,varname_col,ncols,header,error,relpath
health_care_nets,health_care_nets_1990-2022,validate_health_care_nets_Zcta10_1990-2022_2026-03-04_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,validate,Variable,3,Variable | Type | Label,,health_care_nets\health_care_nets_1990-2022\code\validate_health_care_nets_Zcta10_1990-2022_2026-03-04_data_dictionary.xlsx
health_care_nets,health_care_nets_1990-2022,validate_health_care_nets_Zcta20_1990-2022_2026-03-04_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,validate,Variable,3,Variable | Type | Label,,health_care_nets\health_care_nets_1990-2022\code\validate_health_care_nets_Zcta20_1990-2022_2026-03-04_data_dictionary.xlsx
health_care_nets,health_care_nets_1990-2022,nanda_healthcare_Tract10_1990-2022_dictionary.csv,.csv,*_dictionary.csv,publish,variable,8,variable | type | obs | unique | mean | min | max | label,,health_care_nets\health_care_nets_1990-2022\documentation\nanda_healthcare_Tract10_1990-2022_dictionary.csv
health_care_nets,health_care_nets_1990-2022,nanda_healthcare_Tract10_1990-2022_dictionary_formatted.xlsx,.xlsx,*_dictionary.xlsx,publish,variable,8,variable | type | obs | unique | mean | min | max | label,,health_care_nets\health_care_nets_1990-2022\documentation\nanda_healthcare_Tract10_1990-2022_dictionary_formatted.xlsx
health_care_nets,health_care_nets_1990-2022,nanda_healthcare_Tract20_1990-2022_dictionary.csv,.csv,*_dictionary.csv,publish,variable,8,variable | type | obs | unique | mean | min | max | label,,health_care_nets\health_care_nets_1990-2022\documentation\nanda_healthcare_Tract20_1990-2022_dictionary.csv
health_care_nets,health_care_nets_1990-2022,nanda_healthcare_Tract20_1990-2022_dictionary_formatted.xlsx,.xlsx,*_dictionary.xlsx,publish,variable,8,variable | type | obs | unique | mean | min | max | label,,health_care_nets\health_care_nets_1990-2022\documentation\nanda_healthcare_Tract20_1990-2022_dictionary_formatted.xlsx
health_care_nets,health_care_nets_1990-2022,nanda_healthcare_Zcta10_1990-2022_dictionary.csv,.csv,*_dictionary.csv,publish,variable,8,variable | type | obs | unique | mean | min | max | label,,health_care_nets\health_care_nets_1990-2022\documentation\nanda_healthcare_Zcta10_1990-2022_dictionary.csv
health_care_nets,health_care_nets_1990-2022,nanda_healthcare_Zcta10_1990-2022_dictionary_formatted.xlsx,.xlsx,*_dictionary.xlsx,publish,variable,8,variable | type | obs | unique | mean | min | max | label,,health_care_nets\health_care_nets_1990-2022\documentation\nanda_healthcare_Zcta10_1990-2022_dictionary_formatted.xlsx
health_care_nets,health_care_nets_1990-2022,nanda_healthcare_Zcta20_1990-2022_dictionary.csv,.csv,*_dictionary.csv,publish,variable,8,variable | type | obs | unique | mean | min | max | label,,health_care_nets\health_care_nets_1990-2022\documentation\nanda_healthcare_Zcta20_1990-2022_dictionary.csv
health_care_nets,health_care_nets_1990-2022,nanda_healthcare_Zcta20_1990-2022_dictionary_formatted.xlsx,.xlsx,*_dictionary.xlsx,publish,variable,8,variable | type | obs | unique | mean | min | max | label,,health_care_nets\health_care_nets_1990-2022\documentation\nanda_healthcare_Zcta20_1990-2022_dictionary_formatted.xlsx
health_care_nets,health_care_nets_tract_2003-2017,nanda_healthcare_tract_2003-2017_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Format | Obs | Unique | Mean | Min | Max | Label,,health_care_nets\health_care_nets_tract_2003-2017\documentation\nanda_healthcare_tract_2003-2017_01_data_dictionary.xlsx
health_care_nets,health_care_nets_tract_2003-2017,nanda_healthcare_tract_2003-2017_02_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Label,,health_care_nets\health_care_nets_tract_2003-2017\documentation\nanda_healthcare_tract_2003-2017_02_data_dictionary.xlsx
health_care_nets,health_care_nets_tract_2003-2017,nanda_healthcare_tract_2003-2017_03_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Label,,health_care_nets\health_care_nets_tract_2003-2017\documentation\nanda_healthcare_tract_2003-2017_03_data_dictionary.xlsx
health_care_nets,health_care_nets_tract_2006-2015,ambulatory_health_care_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,9,Variable | Variable Type | Obs | Not-Null Count | Mean | Min | Max | Variable Description | Data From,,health_care_nets\health_care_nets_tract_2006-2015\documentation\ambulatory_health_care_data_dictionary.xlsx
health_care_nets,health_care_nets_tract_2006-2015,hospitals_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,9,Variable | Variable Type | Obs | Not-Null Count | Mean | Min | Max | Variable Description | Data From,,health_care_nets\health_care_nets_tract_2006-2015\documentation\hospitals_data_dictionary.xlsx
health_care_nets,health_care_nets_tract_2006-2015,nursing_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,9,Variable | Variable Type | Obs | Not-Null Count | Mean | Min | Max | Variable Description | Data From,,health_care_nets\health_care_nets_tract_2006-2015\documentation\nursing_data_dictionary.xlsx
health_care_nets,health_care_nets_tract_2006-2015,pharmacies_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,9,Variable | Variable Type | Obs | Not-Null Count | Mean | Min | Max | Variable Description | Data From,,health_care_nets\health_care_nets_tract_2006-2015\documentation\pharmacies_data_dictionary.xlsx
health_care_nets,health_care_nets_zcta_2003-2017,nanda_healthcare_zcta_2003-2017_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | type | Obs | Unique | Mean | Min | Max | Label,,health_care_nets\health_care_nets_zcta_2003-2017\documentation\nanda_healthcare_zcta_2003-2017_01_data_dictionary.xlsx
health_care_nets,health_care_nets_zcta_2003-2017,nanda_healthcare_zcta_2003-2017_02_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Label,,health_care_nets\health_care_nets_zcta_2003-2017\documentation\nanda_healthcare_zcta_2003-2017_02_data_dictionary.xlsx
health_care_nets,health_care_nets_zcta_2003-2017,nanda_healthcare_zcta_2003-2017_03_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Label,,health_care_nets\health_care_nets_zcta_2003-2017\documentation\nanda_healthcare_zcta_2003-2017_03_data_dictionary.xlsx
health_care_nets,health_care_nets_zcta_2003-2017,nanda_healthcare_zcta_2003-2017_04_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,8,Variable | Type | Obs | Unique | Mean | Min | Max | Label,,health_care_nets\health_care_nets_zcta_2003-2017\documentation\nanda_healthcare_zcta_2003-2017_04_data_dictionary.xlsx
HMDA,documentation,nanda_HMDA_Decadal_Tract10_1981-2020_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,3,Variable | Type | Label,,HMDA\documentation\nanda_HMDA_Decadal_Tract10_1981-2020_01_data_dictionary.xlsx
HMDA,documentation,nanda_HMDA_Yearly_Tract10_1981-2020_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,3,Variable | Type | Label,,HMDA\documentation\nanda_HMDA_Yearly_Tract10_1981-2020_01_data_dictionary.xlsx
HMDA,documentation,nanda_HMDA_Yearly_Tract10_1981-2021_02_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,3,Variable | Type | Label,,HMDA\documentation\nanda_HMDA_Yearly_Tract10_1981-2021_02_data_dictionary.xlsx
hospitals,2023,nanda_hospitals_Tract10_2023_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,9,Variable | Type | Label | Obs | Unique | Mean | Min | Max | Label,,hospitals\2023\documentation\nanda_hospitals_Tract10_2023_01_data_dictionary.xlsx
hospitals,2023,nanda_hospitals_Tract20_2023_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,10,Variable | Type | Label | Variable | Obs | Unique | Mean | Min | Max | Label,,hospitals\2023\documentation\nanda_hospitals_Tract20_2023_01_data_dictionary.xlsx
hospitals,2023,nanda_hospitals_ZCTA10_2023_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,9,Variable | Type | Label | Obs | Unique | Mean | Min | Max | Label,,hospitals\2023\documentation\nanda_hospitals_ZCTA10_2023_01_data_dictionary.xlsx
hospitals,2023,nanda_hospitals_ZCTA20_2023_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,9,Variable | Type | Label | Obs | Unique | Mean | Min | Max | Label,,hospitals\2023\documentation\nanda_hospitals_ZCTA20_2023_01_data_dictionary.xlsx
land_cover,landcover_1985-2023,nanda_landcover_Tract10_1985-2023_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,3,Variable | Type | Label,,land_cover\landcover_1985-2023\documentation\nanda_landcover_Tract10_1985-2023_01_data_dictionary.xlsx
land_cover,landcover_1985-2023,nanda_landcover_Tract10_1985-2023_03_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,3,Variable | Type | Label,,land_cover\landcover_1985-2023\documentation\nanda_landcover_Tract10_1985-2023_03_data_dictionary.xlsx
land_cover,landcover_1985-2023,nanda_landcover_Tract20_1985-2023_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,3,Variable | Type | Label,,land_cover\landcover_1985-2023\documentation\nanda_landcover_Tract20_1985-2023_01_data_dictionary.xlsx
land_cover,landcover_1985-2023,nanda_landcover_Tract20_1985-2023_03_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,3,Variable | Type | Label,,land_cover\landcover_1985-2023\documentation\nanda_landcover_Tract20_1985-2023_03_data_dictionary.xlsx
land_cover,landcover_1985-2023,nanda_landcover_ZCTA10_1985-2023_01_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,3,Variable | Type | Label,,land_cover\landcover_1985-2023\documentation\nanda_landcover_ZCTA10_1985-2023_01_data_dictionary.xlsx
land_cover,landcover_1985-2023,nanda_landcover_ZCTA10_1985-2023_03_data_dictionary.xlsx,.xlsx,*_data_dictionary.xlsx,publish,Variable,3,Variable | Type | Label,,land_cover\landcover_1985-2023\documentation\nanda_landcover_ZCTA10_1985-2023_03_data_dictionary.xlsx
